sequence_id,mmsi,segment_id,point_index,timestamp,original_latitude,original_longitude,imputed_latitude,imputed_longitude,latitude_error,longitude_error,spherical_distance_km,selected_function_id
40,205685000,5,12,2024-04-02 17:04:25,28.93657,-95.33367,28.93657,-95.33367,0.0,0.0,0.0,vf_-1674108645292586519
40,205685000,5,13,2024-04-02 17:13:24,28.93657,-95.33367,28.93657,-95.33367,0.0,0.0,0.0,vf_-1674108645292586519
40,205685000,5,14,2024-04-02 17:19:24,28.93657,-95.33367,28.93657,-95.33367,0.0,0.0,0.0,vf_-1674108645292586519
40,205685000,5,15,2024-04-02 17:25:24,28.93657,-95.33367,28.93657,-95.33367,0.0,0.0,0.0,vf_-1674108645292586519
40,205685000,5,16,2024-04-02 17:34:24,28.93657,-95.33367,28.93657,-95.33367,0.0,0.0,0.0,vf_-1674108645292586519
40,205685000,5,17,2024-04-02 17:43:24,28.93657,-95.33367,28.93657,-95.33367,0.0,0.0,0.0,vf_-1674108645292586519
40,205685000,5,18,2024-04-02 17:49:24,28.93657,-95.33367,28.93657,-95.33367,0.0,0.0,0.0,vf_-1674108645292586519
40,205685000,5,19,2024-04-02 17:55:24,28.93657,-95.33367,28.93657,-95.33367,0.0,0.0,0.0,vf_-1674108645292586519
6,3660489,1,0,2024-04-10 15:30:42,27.37042,-89.9243,27.370351363744973,-89.92428745450201,6.863625502617765e-05,1.2545497995120058e-05,0.007731893402839806,vf_8899081520044992948
6,3660489,1,1,2024-04-10 20:33:45,27.37038,-89.92428,27.370333261120624,-89.92429469555175,4.673887937656218e-05,1.469555175503956e-05,0.005395918336874315,vf_8899081520044992948
6,3660489,1,2,2024-04-10 20:54:45,27.3704,-89.92423,27.370332006690294,-89.92429519732389,6.799330970608253e-05,6.519732389165256e-05,0.00993024197029086,vf_8899081520044992948
6,3660489,1,3,2024-04-10 21:18:43,27.37033,-89.92427,27.370330575046793,-89.92429576998128,5.75046794182299e-07,2.5769981277790066e-05,0.002545512909275842,vf_8899081520044992948
6,3660489,1,4,2024-04-10 22:03:45,27.37043,-89.9243,27.37032788499064,-89.92429684600374,0.00010211500935852769,3.153996260607528e-06,0.011358941527172588,vf_8899081520044992948
6,3660489,1,5,2024-04-10 22:18:45,27.3704,-89.92437,27.370326988968976,-89.92429720441241,7.301103102363982e-05,7.279558758455096e-05,0.010843508271379717,vf_8899081520044992948
6,3660489,1,6,2024-04-10 22:27:43,27.37028,-89.92427,27.37032645334714,-89.92429741866114,4.645334713870852e-05,2.741866113353808e-05,0.005831958439630758,vf_8899081520044992948
6,3660489,1,7,2024-04-10 22:36:44,27.37037,-89.92425,27.37032591473856,-89.92429763410458,4.408526143961922e-05,4.76341045754225e-05,0.006793762671911347,vf_8899081520044992948
6,3660489,1,8,2024-04-10 22:42:45,27.37032,-89.92427,27.370325555334315,-89.92429777786627,5.555334315232585e-06,2.7777866264955264e-05,0.0028116787954612127,vf_8899081520044992948
6,3660489,1,9,2024-04-10 22:51:43,27.37027,-89.92423,27.370325019712475,-89.92429799211502,5.501971247312554e-05,6.79921150208429e-05,0.009083334281742836,vf_8899081520044992948
6,3660489,1,10,2024-04-10 23:00:42,27.37027,-89.92425,27.370324483095057,-89.92429820676197,5.4483095055957165e-05,4.820676197425655e-05,0.007704709924193727,vf_8899081520044992948
6,3660489,1,11,2024-04-10 23:12:44,27.3703,-89.92423,27.370323764286567,-89.92429849428538,2.3764286567029558e-05,6.849428538657776e-05,0.007261477555716139,vf_8899081520044992948
6,3660489,1,12,2024-04-10 23:18:45,27.37037,-89.92427,27.37032340488232,-89.92429863804708,4.659511768068114e-05,2.863804706976225e-05,0.005902657318894134,vf_8899081520044992948
6,3660489,1,13,2024-04-10 23:30:44,27.37028,-89.92427,27.370322689060572,-89.92429892437578,4.268906057092181e-05,2.8924375769179278e-05,0.0055398592886998785,vf_8899081520044992948
6,3660489,1,14,2024-04-10 23:36:45,27.3703,-89.92425,27.370322329656325,-89.92429906813747,2.232965632487094e-05,4.906813747140859e-05,0.005444472635276343,vf_8899081520044992948
6,3660489,1,15,2024-04-10 23:45:42,27.37028,-89.9243,27.370321795030065,-89.92429928198797,4.1795030064406546e-05,7.180120320526839e-07,0.0046479361150078315,vf_8899081520044992948
6,3660489,1,16,2024-04-10 23:51:42,27.37033,-89.92425,27.3703214366214,-89.92429942535144,8.56337860000167e-06,4.94253514347065e-05,0.004972627763009118,vf_8899081520044992948
6,3660489,1,17,2024-04-10 23:57:43,27.37032,-89.92428,27.370321077217156,-89.92429956911315,1.0772171563644406e-06,1.956911314948684e-05,0.0019361012126400858,vf_8899081520044992948
6,3660489,1,18,2024-04-11 00:03:45,27.37033,-89.9243,27.370320716817332,-89.92429971327307,9.283182667019219e-06,2.8672693019871076e-07,0.0010326310482261444,vf_8899081520044992948
6,3660489,1,19,2024-04-11 00:15:45,27.37035,-89.92428,27.37032,-89.9243,2.999999999886427e-05,2.0000000006348273e-05,0.003876631568940808,vf_8899081520044992948
6,3660489,5,0,2024-04-13 08:48:45,27.37033,-89.92422,27.370318174703357,-89.92425228162081,1.1825296642342664e-05,3.228162080404218e-05,0.0034482638399564902,vf_8899081520044992948
